type,code,name,ISIN,start,market,group,CFI
上櫃認購(售)權證,718542,力致凱基09購01,TW21Z7185428,2021/02/19,上櫃,,RWSCCA
上櫃認購(售)權證,718543,合一統一0A購01,TW21Z7185436,2021/02/19,上櫃,,RWSCCA
上櫃認購(售)權證,718544,旺矽統一0A購04,TW21Z7185444,2021/02/19,上櫃,,RWSCCA
上櫃認購(售)權證,718545,穩懋統一0A購01,TW21Z7185451,2021/02/19,上櫃,,RWSCCA
上櫃認購(售)權證,718546,穩懋統一0A購02,TW21Z7185469,2021/02/19,上櫃,,RWSCCA
上櫃認購(售)權證,718547,譜瑞統一0B購01,TW21Z7185477,2021/02/19,上櫃,,RWSCCA
上櫃認購(售)權證,718548,力致中信08購01,TW21Z7185485,2021/02/19,上櫃,,RWSCCE
上櫃認購(售)權證,718549,合一永豐08購02,TW21Z7185493,2021/02/19,上櫃,,RWSCCA
上櫃認購(售)權證,718550,雙鴻永豐08購01,TW21Z7185501,2021/02/19,上櫃,,RWSCCA
上櫃認購(售)權證,718551,聯亞康和08購01,TW21Z7185519,2021/02/22,上櫃,,RWSCCA
上櫃認購(售)權證,718552,碩禾國泰0A購01,TW21Z7185527,2021/02/22,上櫃,,RWSCCA
上櫃認購(售)權證,718553,宏捷科元富08購03,TW21Z7185535,2021/02/22,上櫃,,RWSCCA
上櫃認購(售)權證,718554,中天統一09購01,TW21Z7185543,2021/02/22,上櫃,,RWSCCA
上櫃認購(售)權證,718555,合一統一09購05,TW21Z7185550,2021/02/22,上櫃,,RWSCCA
上櫃認購(售)權證,718556,合一統一09購06,TW21Z7185568,2021/02/22,上櫃,,RWSCCA
上櫃認購(售)權證,718557,萬潤統一0A購01,TW21Z7185576,2021/02/22,上櫃,,RWSCCA
上櫃認購(售)權證,718558,力致凱基0A購01,TW21Z7185584,2021/02/22,上櫃,,RWSCCA
上櫃認購(售)權證,718559,中光電凱基09購01,TW21Z7185592,2021/02/22,上櫃,,RWSCCA
上櫃認購(售)權證,718560,旺矽凱基08購04,TW21Z7185600,2021/02/22,上櫃,,RWSCCA
上櫃認購(售)權證,718561,家登凱基08購06,TW21Z7185618,2021/02/22,上櫃,,RWSCCA
上櫃認購(售)權證,718562,穩懋凱基08購07,TW21Z7185626,2021/02/22,上櫃,,RWSCCA
上櫃認購(售)權證,718563,力致群益08購02,TW21Z7185634,2021/02/22,上櫃,,RWSCCA
上櫃認購(售)權證,718564,凡甲群益08購01,TW21Z7185642,2021/02/22,上櫃,,RWSCCA
上櫃認購(售)權證,718565,佳邦群益0B購01,TW21Z7185659,2021/02/22,上櫃,,RWSCCA
上櫃認購(售)權證,718566,金居群益09購02,TW21Z7185667,2021/02/22,上櫃,,RWSCCA
上櫃認購(售)權證,718567,高技群益08購01,TW21Z7185675,2021/02/22,上櫃,,RWSCCA
上櫃認購(售)權證,718568,順達群益08購01,TW21Z7185683,2021/02/22,上櫃,,RWSCCA
上櫃認購(售)權證,718569,聯亞群益08購01,TW21Z7185691,2021/02/22,上櫃,,RWSCCA
上櫃認購(售)權證,718570,雙鴻群益08購02,TW21Z7185709,2021/02/22,上櫃,,RWSCCA
上櫃認購(售)權證,718571,欣銓兆豐08購01,TW21Z7185717,2021/02/22,上櫃,,RWSCCA
上櫃認購(售)權證,718572,力致中信08購02,TW21Z7185725,2021/02/22,上櫃,,RWSCCE
上櫃認購(售)權證,718573,M31永豐08購01,TW21Z7185733,2021/02/22,上櫃,,RWSCCA
上櫃認購(售)權證,718574,力致永豐08購02,TW21Z7185741,2021/02/22,上櫃,,RWSCCA
上櫃認購(售)權證,718575,中光電永豐08購02,TW21Z7185758,2021/02/22,上櫃,,RWSCCA
上櫃認購(售)權證,718576,宇峻永豐08購01,TW21Z7185766,2021/02/22,上櫃,,RWSCCA
上櫃認購(售)權證,718577,茂達永豐08購01,TW21Z7185774,2021/02/22,上櫃,,RWSCCA
上櫃認購(售)權證,718578,順達永豐08購01,TW21Z7185782,2021/02/22,上櫃,,RWSCCA
上櫃認購(售)權證,718579,大田永豐08購01,TW21Z7185790,2021/02/23,上櫃,,RWSCCA
上櫃認購(售)權證,718580,璟德永豐08購01,TW21Z7185808,2021/02/22,上櫃,,RWSCCA
上櫃認購(售)權證,718581,譜瑞永豐08購01,TW21Z7185816,2021/02/22,上櫃,,RWSCCA
上櫃認購(售)權證,718582,力致元大08購03,TW21Z7185824,2021/02/22,上櫃,,RWSCCA
上櫃認購(售)權證,718583,家登元大0A購01,TW21Z7185832,2021/02/22,上櫃,,RWSCCA
上櫃認購(售)權證,718584,創惟富邦0A購01,TW21Z7185840,2021/02/22,上櫃,,RWSCCA
上櫃認購(售)權證,718585,新鉅科富邦09購01,TW21Z7185857,2021/02/22,上櫃,,RWSCCA
上櫃認購(售)權證,718586,頎邦富邦0A購01,TW21Z7185865,2021/02/22,上櫃,,RWSCCA
上櫃認購(售)權證,718587,昇佳電國泰0A購01,TW21Z7185873,2021/02/23,上櫃,,RWSCCA
上櫃認購(售)權證,718588,大田元大08購01,TW21Z7185881,2021/02/23,上櫃,,RWSCCA
上櫃認購(售)權證,718589,海韻電元大08購01,TW21Z7185899,2021/02/23,上櫃,,RWSCCA
上櫃認購(售)權證,718590,新鉅科元大08購02,TW21Z7185907,2021/02/23,上櫃,,RWSCCA
上櫃認購(售)權證,718591,雍智元大0B購01,TW21Z7185915,2021/02/23,上櫃,,RWSCCA
上櫃認購(售)權證,718592,雙鴻元大0B購02,TW21Z7185923,2021/02/23,上櫃,,RWSCCA
上櫃認購(售)權證,718593,大田群益09購02,TW21Z7185931,2021/02/23,上櫃,,RWSCCA
上櫃認購(售)權證,718594,旺矽群益09購02,TW21Z7185949,2021/02/23,上櫃,,RWSCCA
上櫃認購(售)權證,718595,家登群益08購04,TW21Z7185956,2021/02/23,上櫃,,RWSCCA
上櫃認購(售)權證,718596,新鉅科群益08購01,TW21Z7185964,2021/02/23,上櫃,,RWSCCA
上櫃認購(售)權證,718597,精材群益08購02,TW21Z7185972,2021/02/23,上櫃,,RWSCCA
上櫃認購(售)權證,718598,鈊象群益08購03,TW21Z7185980,2021/02/23,上櫃,,RWSCCA
上櫃認購(售)權證,718599,鈊象群益09購02,TW21Z7185998,2021/02/23,上櫃,,RWSCCA
上櫃認購(售)權證,718600,群聯中信09購01,TW21Z7186004,2021/02/23,上櫃,,RWSCCE
上櫃認購(售)權證,718601,海韻電永豐08購01,TW21Z7186012,2021/02/23,上櫃,,RWSCCA
上櫃認購(售)權證,718602,神盾永豐08購01,TW21Z7186020,2021/02/23,上櫃,,RWSCCA
上櫃認購(售)權證,718603,新鉅科永豐08購01,TW21Z7186038,2021/02/23,上櫃,,RWSCCA
上櫃認購(售)權證,718604,達爾膚永豐08購01,TW21Z7186046,2021/02/23,上櫃,,RWSCCA
上櫃認購(售)權證,718605,僑威永豐08購01,TW21Z7186053,2021/02/23,上櫃,,RWSCCA
上櫃認購(售)權證,718606,鴻碩永豐08購01,TW21Z7186061,2021/02/23,上櫃,,RWSCCA
上櫃認購(售)權證,718607,宏捷科凱基08購05,TW21Z7186079,2021/02/23,上櫃,,RWSCCA
上櫃認購(售)權證,718608,家登凱基08購07,TW21Z7186087,2021/02/23,上櫃,,RWSCCA
上櫃認購(售)權證,718609,創惟凱基08購03,TW21Z7186095,2021/02/23,上櫃,,RWSCCA
上櫃認購(售)權證,718610,雍智凱基08購02,TW21Z7186103,2021/02/23,上櫃,,RWSCCA
上櫃認購(售)權證,718611,僑威凱基08購01,TW21Z7186111,2021/02/23,上櫃,,RWSCCA
上櫃認購(售)權證,718612,譜瑞凱基08購04,TW21Z7186129,2021/02/23,上櫃,,RWSCCA
上櫃認購(售)權證,718613,力致統一0A購01,TW21Z7186137,2021/02/23,上櫃,,RWSCCA
上櫃認購(售)權證,718614,中光電統一09購01,TW21Z7186145,2021/02/23,上櫃,,RWSCCA
上櫃認購(售)權證,718615,優群統一0A購01,TW21Z7186152,2021/02/23,上櫃,,RWSCCA
上櫃認購(售)權證,718616,曜越統一0A購01,TW21Z7186160,2021/02/23,上櫃,,RWSCCA
上櫃認購(售)權證,718617,穩懋統一09購13,TW21Z7186178,2021/02/23,上櫃,,RWSCCA
上櫃認購(售)權證,718618,世界兆豐08購01,TW21Z7186186,2021/02/23,上櫃,,RWSCCA
上櫃認購(售)權證,718619,世界兆豐08購02,TW21Z7186194,2021/02/23,上櫃,,RWSCCA
上櫃認購(售)權證,718620,欣銓兆豐08購02,TW21Z7186202,2021/02/23,上櫃,,RWSCCA
上櫃認購(售)權證,718621,鴻碩兆豐09購01,TW21Z7186210,2021/02/23,上櫃,,RWSCCA
上櫃認購(售)權證,718622,穩懋兆豐08購03,TW21Z7186228,2021/02/23,上櫃,,RWSCCA
上櫃認購(售)權證,718623,群聯日盛08購01,TW21Z7186236,2021/02/24,上櫃,,RWSCCA
上櫃認購(售)權證,718624,台燿國泰0A購01,TW21Z7186244,2021/02/24,上櫃,,RWSCCA
上櫃認購(售)權證,718625,群聯富邦09購01,TW21Z7186251,2021/02/24,上櫃,,RWSCCA
上櫃認購(售)權證,718626,大江群益08購01,TW21Z7186269,2021/02/24,上櫃,,RWSCCA
上櫃認購(售)權證,718627,合晶群益09購01,TW21Z7186277,2021/02/24,上櫃,,RWSCCA
上櫃認購(售)權證,718628,宏捷科群益0A購01,TW21Z7186285,2021/02/24,上櫃,,RWSCCA
上櫃認購(售)權證,718629,海韻電群益09購01,TW21Z7186293,2021/02/24,上櫃,,RWSCCA
上櫃認購(售)權證,718630,僑威群益08購01,TW21Z7186301,2021/02/24,上櫃,,RWSCCA
上櫃認購(售)權證,718631,鴻碩群益08購02,TW21Z7186319,2021/02/24,上櫃,,RWSCCA
上櫃認購(售)權證,718632,信音國票09購01,TW21Z7186327,2021/02/24,上櫃,,RWSCCA
上櫃認購(售)權證,718633,新鉅科國票09購01,TW21Z7186335,2021/02/24,上櫃,,RWSCCA
上櫃認購(售)權證,718634,萬潤國票09購01,TW21Z7186343,2021/02/24,上櫃,,RWSCCA
上櫃認購(售)權證,718635,群聯國票09購01,TW21Z7186350,2021/02/24,上櫃,,RWSCCA
上櫃認購(售)權證,718636,大田凱基08購01,TW21Z7186368,2021/02/24,上櫃,,RWSCCA
上櫃認購(售)權證,718637,日揚凱基08購02,TW21Z7186376,2021/02/24,上櫃,,RWSCCA
上櫃認購(售)權證,718638,威剛凱基08購04,TW21Z7186384,2021/02/24,上櫃,,RWSCCA
上櫃認購(售)權證,718639,雍智凱基08購03,TW21Z7186392,2021/02/24,上櫃,,RWSCCA
上櫃認購(售)權證,718640,雙鴻凱基08購04,TW21Z7186400,2021/02/24,上櫃,,RWSCCA
上櫃認購(售)權證,718641,鈺太凱基08購04,TW21Z7186418,2021/02/24,上櫃,,RWSCCA
上櫃認購(售)權證,718642,力致中信09購01,TW21Z7186426,2021/02/24,上櫃,,RWSCCE
上櫃認購(售)權證,718643,力致永豐08購03,TW21Z7186434,2021/02/24,上櫃,,RWSCCA
上櫃認購(售)權證,718644,中天永豐08購01,TW21Z7186442,2021/02/24,上櫃,,RWSCCA
